Feature,Normalized.Dispersion
ENSG00000272161,nan
ENSG00000272420,-3.482967987110269
ENSG00000157916,-1.4997417774740789
ENSG00000157911,-0.3592964050457765
ENSG00000149527,0.8087576387958542
ENSG00000224387,nan
ENSG00000229393,nan
ENSG00000157881,1.110228606808174
ENSG00000197921,nan
ENSG00000272449,-0.49930232544451914
ENSG00000238164,12.882253283341786
ENSG00000157873,-1.9524940487375197
ENSG00000228037,0.40012845392461616
ENSG00000157870,-1.1548748104950726
ENSG00000142606,1.5603455212951396
ENSG00000237058,nan
ENSG00000215912,-1.0034656851175157
ENSG00000285945,nan
ENSG00000283259,nan
ENSG00000233234,nan
ENSG00000287396,nan
ENSG00000231630,nan
ENSG00000284745,nan
ENSG00000169717,nan
ENSG00000177133,-1.6679536679536684
ENSG00000142611,-1.0167122328101148
ENSG00000226286,nan
ENSG00000272235,nan
ENSG00000287828,0.031853281853281915
ENSG00000286518,nan
ENSG00000130762,nan
ENSG00000272088,nan
ENSG00000162591,0.16027922706660142
ENSG00000238260,-1.4279720279720263
ENSG00000158109,32.80031790013769
ENSG00000116213,-1.2546645571575175
ENSG00000078900,0.869854570127605
ENSG00000227589,nan
ENSG00000235131,nan
ENSG00000162592,1.9850931165039472
ENSG00000235169,-0.3235857514795912
ENSG00000130764,2.532568715509646
ENSG00000272153,nan
ENSG00000116198,-0.8537269460494219
ENSG00000169598,-0.2519176563342774
ENSG00000198912,-1.5105026529661119
ENSG00000236423,0.8367685146795025
ENSG00000233304,nan
ENSG00000226374,nan
ENSG00000284668,0.2857142857142852
ENSG00000284703,nan
ENSG00000235054,nan
ENSG00000284694,nan
ENSG00000227169,nan
ENSG00000232596,nan
ENSG00000196581,1.7978602675114823
ENSG00000287586,nan
ENSG00000284739,nan
ENSG00000284674,nan
ENSG00000231510,nan
ENSG00000284616,nan
ENSG00000284692,nan
ENSG00000284666,nan
ENSG00000260972,nan
ENSG00000236948,1.995418208351078
ENSG00000131697,-0.6789550401053167
ENSG00000069424,0.9936473157067502
ENSG00000116254,3.963220334866748
ENSG00000116251,0.48483838538607116
ENSG00000226944,nan
ENSG00000158286,-1.154262058310654
ENSG00000116237,0.44926564644543143
ENSG00000225077,nan
ENSG00000173673,nan
ENSG00000158292,1.3707729899506882
ENSG00000097021,0.7091391538792938
ENSG00000271746,3.5764520967455624
ENSG00000069812,-0.14862462599035808
ENSG00000187017,0.36574593258220944
ENSG00000231868,nan
ENSG00000215788,0.6113134714097986
ENSG00000171680,0.7182140332858069
ENSG00000162408,1.2836980179333628
ENSG00000173662,-1.827971884683635
ENSG00000204859,-1.4015375314542822
ENSG00000162413,2.7795667066954084
ENSG00000116273,0.12463747923356289
ENSG00000041988,3.943109902666268
ENSG00000007923,1.485848603269601
ENSG00000228750,0.22536536633194149
ENSG00000284744,-0.6005188453540996
ENSG00000237436,-0.556308381636677
ENSG00000171735,-0.024335149701624714
ENSG00000237365,nan
ENSG00000237402,nan
ENSG00000237728,nan
ENSG00000225126,nan
ENSG00000270171,nan
ENSG00000270035,nan
ENSG00000269978,nan
ENSG00000049245,-1.9170404804344834
ENSG00000269925,0.1225868725868728
ENSG00000049246,1.5750710230364744
ENSG00000236266,3.238626068341408
ENSG00000049247,-0.24835400391583495
ENSG00000049249,1.495513240717928
ENSG00000116288,-0.961067573886547
ENSG00000284747,-0.4768458182096658
ENSG00000284716,0.3743942142787272
ENSG00000116285,1.1744024654332466
ENSG00000238290,-1.3853708182360553
ENSG00000227634,nan
ENSG00000233645,nan
ENSG00000162426,-0.9237703115181631
ENSG00000142599,-1.131878039511505
ENSG00000232912,-1.2016070512376202
ENSG00000228423,nan
ENSG00000074800,-1.0933702132140388
ENSG00000230679,2.377514459322184
ENSG00000131686,3.484584511811625
ENSG00000197241,nan
ENSG00000142583,1.2893565470838062
ENSG00000180758,2.781637207755727
ENSG00000228526,-1.5783490028487213
ENSG00000234546,1.4027972027972024
ENSG00000049239,0.2212130269817496
ENSG00000171621,2.2632368739884035
ENSG00000284652,nan
ENSG00000284693,-1.0596912991631182
ENSG00000235263,nan
ENSG00000171612,-0.25880491013258994
ENSG00000188807,-0.19432692965864087
ENSG00000171608,-0.06787924437687029
ENSG00000179840,2.1890210865880535
ENSG00000231789,-0.005255208840477345
ENSG00000171603,2.2112890080931673
ENSG00000178585,-0.49542944328270966
ENSG00000223989,0.5849420849420858
ENSG00000285701,0.5169339356180587
ENSG00000162441,-0.8982980210935546
ENSG00000228150,nan
ENSG00000173614,0.8643570366460518
ENSG00000241326,nan
ENSG00000162444,-0.9678835466380058
ENSG00000130939,0.2870867362782111
ENSG00000054523,1.7636453581765863
ENSG00000284735,-0.36048599533349374
ENSG00000284642,-1.600027263692495
ENSG00000142657,-1.7698677646847822
ENSG00000271989,nan
ENSG00000175279,4.312192789314923
ENSG00000241563,1.047552447552446
ENSG00000160049,-1.4424078645245746
ENSG00000203469,-0.12277106836493412
ENSG00000142655,1.1975128226262242
ENSG00000287727,-0.16474347078061244
ENSG00000130940,-0.41498180060427975
ENSG00000272078,1.8603153720937522
ENSG00000175262,-1.7475138423669012
ENSG00000120948,2.5582946390612107
ENSG00000009724,0.8528740105897996
ENSG00000271895,-1.5511961752803916
ENSG00000116649,-0.06414618175031085
ENSG00000171824,8.163584784478546
ENSG00000226849,0.8696899744912856
ENSG00000230337,-1.0378768984340763
ENSG00000198793,0.7420020065100625
ENSG00000225602,-1.03055054511736
ENSG00000171819,0.799003945082208
ENSG00000120942,-0.04442907319882172
ENSG00000284646,-0.8711333148844175
ENSG00000204624,-0.3156684569995755
ENSG00000285833,nan
ENSG00000235643,nan
ENSG00000284708,-0.23475020644466107
ENSG00000116661,2.235376086988857
ENSG00000132879,3.419961495194781
ENSG00000116663,13.379244098445257
ENSG00000116670,-1.2555127566239364
ENSG00000162490,4.598578295564322
ENSG00000177674,7.583333514465097
ENSG00000215910,-1.2238686321612953
ENSG00000177553,nan
ENSG00000177000,-1.3030491103022814
ENSG00000011021,1.9639054987582654
ENSG00000175206,-0.5069731027842309
ENSG00000120937,nan
ENSG00000285646,-1.6334081557838627
